company_name,website,country,employee_count,industry,travel_category,page_title,b2c_score,b2c_reasoning,source_file,line_number
Utair Group,https://utair.ru,Russia,510,Unknown,,HTTP 403,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5831
Valera Global.,https://valeraglobal.com,United States,48,Unknown,,Valera Global- Luxury Car Service | Professional Chauffeur Service ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5877
St Regis Hotel,https://stregishotel.com,United States,760,Unknown,,The St. Regis Hotel - Downtown Vancouver's Boutique Hotel,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5878
BSI Group,https://bsigroup.ru,Russia,25,Unknown,,Главная - путешествия и отдых.  Главная - BSI Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5906
Martin North - Discover True Hospitality,https://martinnorth.team,United States,39,Unknown,,"Martin North - Cannon Beach, Oregon",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,5950
IVI THE DMC,https://ividmc.travel,Mexico,78,Unknown,,Destination management company | DMC services in Latin America | IVI DMC Enterprises,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6027
Делимобиль,https://delimobil.ru,Russia,170,Unknown,,Делимобиль - каршеринг для твоих достижений.,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6233
Sensei,https://sensei.com,United States,180,Unknown,,Wellness Retreat Los Angeles - Sensei Lānaʻi and Porcupine Creek,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6289
Twin Group,https://twinuk.com,United Kingdom,290,Unknown,, Homepage | Twin Group ,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6294
Banyan Tree Management,https://aperturehotels.com,United States,44,Unknown,,Home - Aperture Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6360
Mansour Travel Company,https://mansourtravel.com,United States,33,Unknown,,A premier provider of luxury travel that caters to global business and entertainment industry leaders | Mansour Travel Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6402
insignia hospitality group,https://insigniamgmt.com,United States,53,Unknown,,Home - Insignia,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6536
GF Hotels & Resorts,https://gfhotels.com,United States,940,Unknown,,GF Hotels & Resorts | Hotel Management & Ownership Company,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6703
Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,https://e-hyatt.com,United States,110,Unknown,,e Hyatt | ebrochure for Hyatt Hotels  | ebrochures,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6810
Delaware River and Bay Authority,https://drba.net,United States,270,Unknown,,DRBA Home Page | Delaware River and Bay Authority,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6811
Mackinaw Mill Creek Camping,https://campmackinaw.com,United States,13,Unknown,,"Mackinaw Mill Creek Camping in Mackinaw City, MI",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6854
Pacifica Companies,https://pacificacompanies.com,United States,460,Unknown,,Pacifica Companies,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,6929
Herschend Family Entertainment,https://herschendenterprises.com,United States,530,Unknown,,Herschend,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,7005
Lakes Entertainment,https://goldenent.com,United States,5300,Unknown,,"Golden Entertainment | Hotel, Casinos & Taverns",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,7047
Network Leading Group Holding,https://nlg.aero,United States,23,Unknown,,Network Leading Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,7060
Sharaf Retail,https://sharafgroup.com,Russia,590,Unknown,,home - Sharaf Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,7118
